StkSeq,Basin,LifeHistory,LHAZ,LHAZShort,LHAZSeq,Watershed,Stock,StkNmS,StartYr,SpnAddCV,CtCV,Notes,ER_Indicator,PercEffSpn,NumCU,ListCU,NumRR,LastRR,SpnExpMed,SpnExpMax,NumSRExpl,LastSRExpl,NumSurvLk,NumDens,NumWt,NumFallFry,LastLkSurv,GSI_Samples,NumSites,GSI_Years,AgeComp,NumAge,RunAge3,RunAge4,RunAge5,RunAge6,RunAge7,AgesUse,NumSpn,NumRec,NumSR,PercSpnLabel,ContrX,NumObsX,LgSpnX,LgRecX,SmSpnX,SmRecX,LgExpX,ContrVal,NumObsVal,LgSpnVal,LgRecVal,SmSpnVal,SmRecVal,LgExpVal,OddSpn,OddRec,OddProd,OddExp
1,Nass,Sea/River,Nass Sea/River Type,Nass SRT,1,Lower Nass Tribs,Lower Nass Sea & River Type,LNassSRT,2000,0.1,0.3,,Gingit+,1.85,1,LNR-P,38,2019,2.72,2.72,0,NA,0,0,0,0,NA,532,3,7 (1987-2014),LowerNassSRTAnnual,40,41.4,58.5,0,0,0,"3,4",38,34,34,2,-,-,-,-,-,-,-,82.93,34,1.23,1,1,1,2.72,0,1,5,0
2,Nass,Lake,Upper Nass Lake Type,U Nass LT,2,Meziadin,Meziadin,Meziadin,1990,0,0.2,,Meziadin,14.57,1,Mezia,38,2019,1,1,33,2014,1,9,8,1,2017,784,4,5 (2001-2018),MeziadinAnnual,57,1.1,25.1,62.8,11,0,"3,4,5,6",38,35,32,15,-,-,-,-,-,-,-,11.84,32,1,1,1,1,1,0,0,1,0
3,Nass,Lake,Upper Nass Lake Type,U Nass LT,2,Bell-Irving,Bowser,Bowser,1990,0.1,0.3,,NA,NA,1,Bows,0,NA,NA,NA,0,NA,0,0,0,0,NA,827,1,7 (1986-2001),BowserAvg,1,0,26,59.4,14.6,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Nass,Lake,Upper Nass Lake Type,U Nass LT,2,Bell-Irving,Oweegee,Oweege,1990,0.1,0.3,,NA,NA,1,Oweeg,0,NA,NA,NA,0,NA,0,0,0,0,NA,NA,0,NA,MeziadinAvg,1,1.1,25.1,62.8,11,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Nass,Lake,Upper Nass Lake Type,U Nass LT,2,Kwinageese,Kwinageese,Kwinag,1990,0.1,0.3,,Kwinagees,0.36,2,"FredWr, Kwinag",35,2019,1,1,0,NA,1,9,1,9,2012,738,2,7 (1987-2001),KwinageeseAnnual,33,1.4,50.5,45.2,2.8,0,"3,4,5,6",35,21,21,<1,X,-,-,-,-,-,-,520.83,21,1,1,1,1,1,5,0,4,0
6,Nass,Lake,Upper Nass Lake Type,U Nass LT,2,Damdochax,Damdochax,Damdoch,1990,0.1,0.3,,Damdochax,0.2,1,Damdo,37,2019,1,1,26,2012,2,9,9,9,2017,557,1,6 (1987-2001),DamdochaxAvg,1,0,33.3,62.5,4.2,0,"4,5,6",37,33,29,<1,-,-,-,-,-,-,-,32.43,29,1,1.17,1,1,1,0,0,4,0
7,Nass,River,Nass River Type,Nass RT,3,Upper Nass Tribs,Upper Nass River Type,UNassRT,1990,0.1,0.3,,BrownBear,0.05,1,UNR,20,2019,1,1.31,0,NA,0,0,0,0,NA,237,1,7 (1997-2013),UpperNassRTAvg,1,2.9,61.7,32,3.4,0,"3,4,5,6",20,11,11,<1,X,-,-,-,-,-,-,1301,11,1.72,1,0.5,1,1,3,0,3,0
8,Skeena,Lake,Lower Skeena Lake Type,L Skeena LT,4,Ecstall,Johnston,Johnston,1980,0.1,0.3,,NA,0.13,1,Johnst,31,2019,2,2.05,0,NA,1,4,4,4,2019,121,1,1 (2010),BabineAvg,1,6.9,44.1,49,0,0,"3,4,5",31,11,11,<1,X,-,-,-,-,-,-,3750,11,1,1,1,1,2,2,0,3,0
9,Skeena,Lake,Lower Skeena Lake Type,L Skeena LT,4,Ecstall,Ecstall,Ecstall,1990,0.1,0.3,,NA,NA,1,Ecst/Lw,0,NA,NA,NA,0,NA,1,3,3,3,2019,NA,0,NA,BabineAvg,1,6.9,44.1,49,0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Skeena,Lake,Lower Skeena Lake Type,L Skeena LT,4,Gitnadoix,Alastair,Alastair,1990,0.1,0.3,,Alastair,2.5,1,Alas,60,2019,2.22,3.01,54,2014,1,5,5,4,2019,354,1,5 (1987-2006),AlastairAvg,1,0,3.3,55.2,41.4,0,"4,5,6",60,58,54,2,-,-,-,-,-,-,-,80.36,54,1,1,1,1,2.22,2,0,4,0
11,Skeena,Lake,Lower Skeena Lake Type,L Skeena LT,4,Lakelse,Lakelse,Lakelse,1990,0.1,0.3,,Lakelse,1.3,1,Lakel,58,2019,2.19,21.91,51,2014,1,13,11,13,2018,536,2,5 (1987-2006),LakelseAvg,1,0,31.2,68.8,0,0,"4,5",58,55,49,1,-,-,-,-,-,-,-,34.69,49,1,1,1,1,2.19,0,0,6,1
12,Skeena,Lake,Lower Skeena Lake Type,L Skeena LT,4,Kitsumkalum,Kitsumkalum,Kitsumk,1990,0.1,0.3,,Kalum,2.5,1,Kitsumk,57,2018,3.82,5.18,53,2014,1,6,6,6,2018,266,3,3 (1994-2012),BabineAvg,1,6.9,44.1,49,0,0,"3,4,5",57,51,46,2,-,-,-,-,-,-,X,82.67,46,1.11,1,1,1,3.82,0,0,0,0
13,Skeena,Lake,Lower Skeena Lake Type,L Skeena LT,4,Zymoetz,Mcdonell,Mcdonell,1990,0.1,0.3,,Zymoetz,0.48,3,"Aldr, Denn, Mcdon",50,2019,2,2,42,2014,1,17,16,16,2019,347,2,5 (1987-2006),BabineAvg,1,6.9,44.1,49,0,0,"3,4,5",50,42,35,<1,-,-,-,-,-,-,-,75,35,1.5,1,1,0.71,2,3,0,0,0
14,Skeena,Lake,Middle Skeena Lake Type,M Skeena LT,5,Kitwanga,Kitwanga,Kitwanga,2000,0.075,0.3,Fence counts until 2017,Kitwanga,0.33,1,Kitwan,32,2019,1,2,23,2014,0,0,0,0,NA,554,1,3 (1998-2009),KitwangaAvg,1,0,90,10,0,0,"4,5",32,24,17,<1,X,-,-,-,X,X,-,416.08,17,1,1,0.23,0.3,1,3,2,4,0
15,Skeena,Lake,Middle Skeena Lake Type,M Skeena LT,5,Bulkley,Upper Bulkley Lakes,UBulkLk,1990,0.1,0.3,,NA,NA,2,"Bulkley, Maxan",0,NA,NA,NA,0,NA,0,0,0,0,NA,NA,0,NA,BabineAvg,1,6.9,44.1,49,0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Skeena,Lake,Middle Skeena Lake Type,M Skeena LT,5,Bulkley,Morice,Morice,1998,0.1,0.3,,Morice+,1.72,2,"Atna, Morice",59,2019,1.16,2.32,51,2013,1,4,4,2,2019,258,2,6 (1988-2016),MoriceAvg,1,0,6.9,67.7,25.4,0,"4,5,6",59,55,50,2,X,-,-,-,-,-,-,205,50,1,1,1,1,1.16,2,2,7,0
17,Skeena,Lake,Middle Skeena Lake Type,M Skeena LT,5,Kispiox,Swan/Stephens,SwanSteph,1995,0.1,0.2,,Swan+,1.28,3,"Club, Steph, Swan",57,2019,3.55,9.14,44,2012,2,11,10,11,2019,490,2,5 (1988-2006),StephensAvg,1,1,9,90,0,0,"4,5",57,53,46,1,X,-,-,-,-,X,X,36924.53,46,1,1.11,1,0.09,3.55,4,1,8,0
18,Skeena,Lake,Middle Skeena Lake Type,M Skeena LT,5,Babine,Babine Early Wild,Bab-EW,1993,0.05,0.2,,Babine-WE,4.46,1,Babine,60,2019,1,1,0,NA,0,0,0,0,NA,1119,5,7 (1987-2014),BabineAnnual,65,6.9,44.1,49,0,0,"3,4,5",60,55,55,4,-,-,-,-,-,-,-,33.35,55,1,1,0.8,1,1,0,2,3,0
19,Skeena,Lake,Middle Skeena Lake Type,M Skeena LT,5,Babine,Babine Late Wild,Bab-LW,1993,0.05,0.2,,Babine-WL,14.7,1,Babine,60,2019,1,1,0,NA,0,0,0,0,NA,340,2,4 (1959-1994),BabineAnnual,65,6.9,44.1,49,0,0,"3,4,5",60,55,55,15,-,-,-,-,-,-,-,15.75,55,1,1,1,1,1,0,2,1,0
20,Skeena,Lake,Middle Skeena Lake Type,M Skeena LT,5,Babine,Babine Mid Wild,Bab-MW,1993,0.05,0.2,,Babine-WM,2.95,1,Babine,60,2019,1,1,48,2007,1,4,4,4,2016,789,3,6 (1987-2014),BabineAnnual,65,6.9,44.1,49,0,0,"3,4,5",60,58,55,3,-,-,-,-,-,-,-,30.56,55,1,1,0.7,1,1,0,1,5,0
21,Skeena,Lake,Middle Skeena Lake Type,M Skeena LT,5,Babine,Pinkut,Pinkut,1993,0.05,0.2,,Babine-P,10.72,1,Babine,60,2019,1,1,0,NA,0,0,0,0,NA,492,1,4 (1985-1994),BabineAnnual,65,6.9,44.1,49,0,0,"3,4,5",60,55,55,11,-,-,-,-,-,-,-,14.08,55,1,1,1,1,1,0,1,3,0
22,Skeena,Lake,Middle Skeena Lake Type,M Skeena LT,5,Babine,Fulton,Fulton,1993,0.05,0.2,,Babine-F,37.08,1,Babine,60,2019,1,1,0,NA,0,0,0,0,NA,536,1,4 (1985-1994),BabineAnnual,65,6.9,44.1,49,0,0,"3,4,5",60,55,55,37,-,-,-,-,-,-,-,13.11,55,1,1,1,1,1,0,1,3,0
23,Skeena,Lake,Upper Skeena Lake Type,U Skeena LT,6,Sicintine,Sicintine,Sicintine,1990,0.1,0.3,,NA,NA,1,Sicint,0,NA,NA,NA,0,NA,0,0,0,0,NA,NA,0,NA,BabineAvg,1,6.9,44.1,49,0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Skeena,Lake,Upper Skeena Lake Type,U Skeena LT,6,Slamgeesh,Slamgeesh,Slamg,2000,0.075,0.3,Fence counts until 2017,Slamgeesh,0.04,2,"Damshil, Slamg",19,2018,1,1,0,NA,0,0,0,0,NA,672,1,3 (2004-2008),SlamgeeshAvg,1,0,80,20,0,0,"4,5",19,14,14,<1,-,-,-,-,-,-,-,13.77,14,1.35,1,1,1,1,0,0,0,0
25,Skeena,Lake,Upper Skeena Lake Type,U Skeena LT,6,Motase ,Motase ,Motase,1990,0.1,0.3,,Motase,0.04,1,Motas,33,2019,2,2,23,2011,1,3,1,2,2013,75,1,1 (1987),BabineAvg,1,6.9,44.1,49,0,0,"3,4,5",33,23,16,<1,X,-,X,-,X,-,-,1050,16,2.91,1,0.06,1,2,2,0,1,0
26,Skeena,Lake,Upper Skeena Lake Type,U Skeena LT,6,Sustut,Bear,Bear,1990,0.1,0.3,,Bear+,0.89,2,"Azukl, Bear",54,2019,2.345,45.61,37,2013,2,10,10,10,2018,116,1,2 (1987-1988),BearAvg,1,7,28,65,0,0,"3,4,5",54,42,36,1,-,-,-,-,-,-,-,97.55,36,1,1,1,1,2.34,2,0,3,1
27,Skeena,Lake,Upper Skeena Lake Type,U Skeena LT,6,Sustut,Asitka,Asitka,2000,0.1,0.3,,Bear+,0.1,1,Asitka,34,2019,2,2,23,2014,0,0,0,0,NA,NA,0,NA,BabineAvg,1,6.9,44.1,49,0,0,"3,4,5",34,16,11,<1,X,-,-,-,X,-,-,2415.86,11,1,1,0.02,0.95,2,1,0,3,0
28,Skeena,Lake,Upper Skeena Lake Type,U Skeena LT,6,Sustut,Sustut,Sustut,1990,0.1,0.3,,NA,0.15,3,"Johan, Spawn, Sustut",47,2019,1,1,0,NA,2,10,10,10,2018,341,1,4 (1993-2006),SustutAvg,1,0,19.8,69.8,10.4,0,"4,5,6",47,36,27,<1,X,-,-,-,X,-,-,2600,27,1.04,1.03,0.17,1,1,7,1,6,0
29,Skeena,Lake,Upper Skeena Lake Type,U Skeena LT,6,Kluatantan,Kluantantan,Kluant,1990,0.1,0.3,,NA,NA,1,Kluant,0,NA,NA,NA,0,NA,0,0,0,0,NA,NA,0,NA,BabineAvg,1,6.9,44.1,49,0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Skeena,Lake,Upper Skeena Lake Type,U Skeena LT,6,Kluayaz,Kluayaz,Kluayaz,1990,0.1,0.3,,NA,NA,1,Kluay,0,NA,NA,NA,0,NA,0,0,0,0,NA,NA,0,NA,BabineAvg,1,6.9,44.1,49,0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Skeena,Lake,Skeena River Type,Skeena RT,7,All,Skeena River Type,Skeena RT,2000,0.1,0.3,,Swan+,0,2,"SKNA, SKNA-HI",0,NA,NA,NA,0,NA,0,0,0,0,NA,554,5,12 (2002-2015),BabineAvg,1,6.9,44.1,49,0,0,"3,4,5",0,0,0,<1,-,X,-,-,-,-,-,NA,0,NA,NA,NA,NA,NA,0,0,0,0
